title,slug,active_installs,relevance
Page scroll to id,page-scroll-to-id,100000,0
"Video Recorder, Video Converter &amp; Video Uploader",clipchamp-video-converter-video-uploader-and-webcam-recorder,400,1
WordPress Carousel &#8211; Responsive Image Slider for WordPress,wp-carousel-free,10000,0
PayPal Plus for WooCommerce,woo-paypalplus,10000,0
Elementor Custom Skin,ele-custom-skin,8000,0
uTubeVideo Gallery,utubevideo-gallery,1000,1
Post Grid,post-grid,60000,0
Gmedia Photo Gallery,grand-media,20000,0
Responsive Lightbox &amp; Gallery,responsive-lightbox,300000,0
Youtube Widget Responsive,youtube-widget-responsive,20000,0
FileBird &#8211; WordPress Media Library Folders,filebird,10000,0
Portfolio Gallery &#8211; Image Gallery WordPress Plugin,portfolio-filter-gallery,10000,0
WooCommerce HSS Extension for Streaming Video,woocommerce-hss-extension-for-streaming-video,100,1
FitVids for WordPress,fitvids-for-wordpress,8000,0
Premium Addons for Elementor,premium-addons-for-elementor,100000,0
Remove Footer Credit,remove-footer-credit,50000,0
Lazy Loader,lazy-loading-responsive-images,5000,0
ARI Fancy Lightbox &#8211; WordPress Popup,ari-fancy-lightbox,10000,0
Popup Builder &#8211; Responsive WordPress Pop up &#8211; Subscription &amp; Newsletter,popup-builder,100000,0
SlideDeck &#8211; Responsive WordPress Slider Plugin,slidedeck,5000,0
MAS Videos,masvideos,80,1
Additional Variation Images for WooCommerce,woo-variation-gallery,6000,0
YouTube Embed,youtube-embed,20000,0
Ultimate FAQ,ultimate-faqs,30000,0
Free Livestream – Live Video Streaming with Hapity,wp-hapity,100,1
Insert Video with Schema.org (IVS),insert-video-with-schemaorg-ivws,200,1
Black Studio TinyMCE Widget,black-studio-tinymce-widget,700000,0
Foyer &#8211; Digital Signage for WordPress,foyer,1000,0
Slider by Supsystic,slider-by-supsystic,10000,0
Photo Video Store,photo-video-store,200,1
Automatic Featured Images from Videos,automatic-featured-images-from-videos,9000,1
Featured Image from URL,featured-image-from-url,40000,0
Wonder Slider Lite,wonderplugin-slider-lite,10000,0
Social Media Share Buttons &amp; Social Sharing Icons,ultimate-social-media-icons,200000,0
Video Comments Webcam Recorder,video-comments-webcam-recorder,80,1
Crelly Slider,crelly-slider,20000,0
YouTube Video Importer Lite,yt-video-importer-lite,100,1
Gallery Box,gallery-box,2000,0
Event Calendar &#8211; Responsive Calendar,calendar-event,3000,0
WordPress Simple PayPal Shopping Cart,wordpress-simple-paypal-shopping-cart,40000,0
Customer Reviews for WooCommerce,customer-reviews-woocommerce,10000,0
Livemesh SiteOrigin Widgets,livemesh-siteorigin-widgets,30000,0
Mykraft Responsive Video Shortcode,mykraft-responsive-video-shortcode,100,1
Event Timeline &#8211; Vertical Timeline,rich-event-timeline,1000,0
Stripe Payments,stripe-payments,10000,0
Responsive video embed,responsive-video-embed,200,1
White Label CMS,white-label-cms,100000,0
Embed videos and respect privacy,video-embed-privacy,5000,1
Contact Widgets,contact-widgets,600000,0
Revive Old Posts &#8211; Auto Post to Social Media,tweet-old-post,50000,0
Yasr &#8211; Yet Another Stars Rating,yet-another-stars-rating,20000,0
Supaz Easy Background &#8211; Easy way to add parallax image or video background,supaz-easy-background,300,1
Image Photo Gallery Final Tiles Grid,final-tiles-grid-gallery-lite,30000,0
MainWP Child,mainwp-child,300000,0
Frontend Dashboard,frontend-dashboard,1000,0
Gallery Photo Video,gallery-photo-video,600,1
Post Gallery,simple-post-gallery,3000,0
Auto Last Youtube Video,auto-last-youtube-video,500,1
"Folders &#8211; Organize Pages, Posts and Media Library Folders with Drag and Drop",folders,8000,0
PickPlugins Product Slider for WooCommerce,woocommerce-products-slider,20000,0
Woocommerce Product Addons,woo-custom-product-addons,7000,0
WordPress Slider Plugin &#8211; WP 1 Slider,wp-1-slider,10000,0
Advanced WordPress Backgrounds,advanced-backgrounds,10000,0
WP Responsive Testimonials Slider And Widget,wp-responsive-testimonials-slider-and-widget,400,0
PressPermit,press-permit-core,5000,0
Video Posts Webcam Recorder,video-posts-webcam-recorder,100,1
Livemesh Addons for WPBakery Page Builder,addons-for-visual-composer,20000,0
Advanced Product Labels for WooCommerce,advanced-product-labels-for-woocommerce,7000,0
WP Videos,video-sync-for-vimeo,500,1
"Styles &amp; Layouts for Gravity Forms &#8211; Best Gravity Forms Styler, Designer",styles-and-layouts-for-gravity-forms,20000,0
WordPress Video Sticky,wp-video-sticky,100,1
Options for Twenty Seventeen,options-for-twenty-seventeen,4000,0
Advanced AJAX Product Filters,woocommerce-ajax-filters,10000,0
Fast Video and Image Display,fast-video-and-image-display,60,1
Maintenance,maintenance,400000,0
"WP-VR-view &#8211; Add Photo Sphere, 360 video to WordPress",wp-vr-view,10000,1
WP101,wp101,10000,0
a3 Lazy Load,a3-lazy-load,100000,0
My WP Translate,my-wp-translate,10000,0
Simple YouTube Embed,simple-youtube-embed,8000,0
Tutor LMS &#8211; eLearning and online course solution,tutor,700,0
Google Video Sitemap Feed With Multisite Support,google-video-sitemap-feed-with-multisite-support,7000,1
Niso Carousel Slider,niso-carousel-slider,900,0
MediaPress,mediapress,2000,0
HSS Embed Streaming Video,hss-embed-streaming-video,60,1
Portfolio Designer – WordPress Portfolio Plugin (Image/Video/Slider Gallery),portfolio-designer-lite,200,1
Load More Anything,ajax-load-more-anything,1000,0
WordPress SEO Plugin &#8211; Rank Math,seo-by-rank-math,60000,0
Accordion,accordions,30000,0
Essential Real Estate,essential-real-estate,4000,0
video-with-ads,video-with-ads,20,1
Image vertical reel scroll slideshow,image-vertical-reel-scroll-slideshow,1000,0
Motors &#8211; Car Dealer &amp; Classified Ads WordPress Plugin,motors-car-dealership-classified-listings,10000,0
FooBox Image Lightbox WordPress Plugin,foobox-image-lightbox,100000,0
Unite Gallery Lite,unite-gallery-lite,20000,0
Essential Addons for Elementor,essential-addons-for-elementor-lite,200000,0
WP VR &#8211; 360 Panorama and virtual tour creator for WordPress,wpvr,2000,0
Ninja Tables &#8211; Best WP Data Table Plugin for WordPress,ninja-tables,30000,0
Ultimate Maps by Supsystic,ultimate-maps-by-supsystic,3000,0
Video Central for WordPress,video-central,700,1
wpDataTables Lite &#8211; WordPress Table Plugin,wpdatatables,20000,0
Videos,videos,300,1
Extra Privacy for Elementor,extra-privacy-for-elementor,1000,0
.TUBE Video Curator,tube-video-curator,700,1
Product Gallery Slider for Woocommerce,woo-product-gallery-slider,7000,0
Responsive Filterable Portfolio,responsive-filterable-portfolio,3000,0
Material Design for Contact Form 7,material-design-for-contact-form-7,10000,0
Sitemap Generator,mb-sitemap-generator,10000,0
Photo Gallery Slideshow &amp; Masonry Tiled Gallery,wp-responsive-photo-gallery,3000,0
MetaSlider Lightbox,ml-slider-lightbox,10000,0
WP Smart TV,wp-smart-tv,800,0
Sermon Manager,sermon-manager-for-wordpress,10000,0
Pods &#8211; Custom Content Types and Fields,pods,70000,0
Kadence Blocks – Gutenberg Page Builder Toolkit,kadence-blocks,30000,0
3CX Live Chat and Talk,3cx-live-chat-talk,1000,0
WebinarPress,wp-webinarsystem,2000,0
Advanced File Manager,file-manager-advanced,20000,0
Popup by Supsystic,popup-by-supsystic,30000,0
WordPress Tooltips,wordpress-tooltips,4000,0
Create by Mediavine,mediavine-create,2000,0
"WP Offload Media Lite for Amazon S3, DigitalOcean Spaces, and Google Cloud Storage",amazon-s3-and-cloudfront,40000,0
CB Change Mail Sender,cb-change-mail-sender,20000,0
Preloader,the-preloader,20000,0
WP Video Enhanced,wp-video-enhanced,100,1
Gallery &#8211; Flagallery Photo Portfolio,flash-album-gallery,20000,0
Clicky Analytics,clicky-analytics,10000,0
AvgBot,avgbot-auto-video-grabber,100,0
Easy Digital Downloads HSS Extension for Streaming Video,easydigitaldownloads-hoststreamsell-extension,60,1
Media from FTP,media-from-ftp,20000,0
Blue Admin,blue-admin,2000,0
Schema &#8211; All In One Schema Rich Snippets,all-in-one-schemaorg-rich-snippets,90000,0
Polo Video Gallery &#8211; Best wordpress video gallery plugin,polo-video-gallery,0,1
Video Destacado,video-destacado,200,1
WPB WooCommerce Product Slider,wpb-woocommerce-product-slider,9000,0
Wistia WordPress Plugin,wistia-wordpress-oembed-plugin,7000,0
JW Player for WordPress,jw-player-7-for-wp,4000,0
Data Tables Generator by Supsystic,data-tables-generator-by-supsystic,30000,0
"Nextend Social Login and Register (Facebook, Google, Twitter)",nextend-facebook-connect,200000,0
Srizon Responsive Youtube Album,srizon-responsive-youtube-album,2000,0
Accessible Video Library,accessible-video-library,100,1
Load More Products for WooCommerce,load-more-products-for-woocommerce,7000,0
WordPress Download Manager,download-manager,100000,0
Fusion Page Builder : Extension &#8211; Video,fusion-extension-video,600,1
WooCommerce Featured Video,woo-featured-video,500,1
WooCommerce Custom Product Tabs Lite,woocommerce-custom-product-tabs-lite,10000,0
Contact Form by BestWebSoft,contact-form-plugin,100000,0
Coming Soon by Supsystic,coming-soon-by-supsystic,6000,0
Webcam 2Way Videochat,webcam-2way-videochat,200,1
"Gallery &#8211; WordPress Gallery, Photo Gallery",new-photo-gallery,2000,0
Markup (JSON-LD) structured in schema.org,wp-structuring-markup,20000,0
Schema App Structured Data,schema-app-structured-data-for-schemaorg,10000,0
Workbox Video from Vimeo &amp; Youtube Plugin,workbox-video-from-vimeo-youtube-plugin,800,1
Nemus Slider,nemus-slider,1000,0
Ivory Search &#8211; WordPress Search Plugin,add-search-to-menu,20000,0
Custom Icons for Elementor,custom-icons-for-elementor,30000,0
FA Video Popup,fa-video-popup,300,1
Alphabetic Pagination,alphabetic-pagination,1000,0
Schema &amp; Structured Data for WP &amp; AMP,schema-and-structured-data-for-wp,10000,0
Min and Max Quantity for WooCommerce,minmax-quantity-for-woocommerce,6000,0
WordPress Colorbox Lightbox,wp-colorbox,10000,0
User Profile Picture,metronet-profile-picture,40000,0
OpenTickets Community Edition,opentickets-community-edition,1000,0
Responsive Lightbox,responsive-lightbox-lite,20000,0
Under Construction,under-construction-page,300000,0
Link Checker,link-checker,10000,0
Contact Form 7 &#8211; PayPal &amp; Stripe Add-on,contact-form-7-paypal-add-on,10000,0
WP Recipe Maker,wp-recipe-maker,20000,0
Google Captcha (reCAPTCHA) by BestWebSoft,google-captcha,200000,0
InfiniteWP Client,iwp-client,300000,0
Simple Link Directory,simple-link-directory,2000,0
Images Slideshow by 2J &#8211; Image Slider,2j-slideshow,4000,0
Responsive Slider by MotoPress,motopress-slider-lite,5000,0
"Popup Maker &#8211; Responsive popup, Exit Intent Pop up, Email Optins, Autoresponder &amp; More",popup-maker-wp,5000,0
WooCommerce Conversion Tracking,woocommerce-conversion-tracking,20000,0
"s2Member Framework (Member Roles, Capabilities, Membership, PayPal Members)",s2member,20000,0
Slideshow CK,slideshow-ck,4000,0
Pricing Table by Supsystic,pricing-table-by-supsystic,30000,0
WP Datepicker,wp-datepicker,6000,0
Event Calendar WD &#8211; Responsive Event Calendar plugin,event-calendar-wd,30000,0
YouTube Playlist Player,youtube-playlist-player,1000,0
FA Lite &#8211; WP responsive slider plugin,featured-articles-lite,2000,0
Discount Rules for WooCommerce,woo-discount-rules,10000,0
MomentoPress for Momento360,cmyee-momentopress,1000,0
Magic Embeds,wp-embed-facebook,10000,0
Youtube Video Search,youtube-post-search,50,1
Simple YouTube Responsive,simple-youtube-responsive,2000,0
User Post Gallery &#8211; UPG,wp-upg,1000,0
Custom Login Page Customizer | LoginPress,loginpress,60000,0
WP Shortcode by MyThemeShop,wp-shortcode,50000,0
WordPress File Upload,wp-file-upload,20000,0
Photo Gallery by Supsystic,gallery-by-supsystic,70000,0
Smooth Slider,smooth-slider,10000,0
OT Flatsome Vertical Menu,ot-flatsome-vertical-menu,7000,0
Gallery – Photo Albums Plugin,easy-media-gallery,9000,0
Ultimate Gallery Master,ultimate-gallery-master,4000,0
Exit Popup,exit-popup,4000,0
WP Notification Bars,wp-notification-bars,20000,0
Layer Slider,slider-slideshow,4000,0
Premium Blocks for Gutenberg,premium-blocks-for-gutenberg,4000,0
PDF &amp; Print by BestWebSoft,pdf-print,10000,0
Quick Adsense,quick-adsense,100000,0
Genesis Dambuster,genesis-dambuster,10000,0
"Arrow YouTube Feed, Youtube Channel Feed",add-youtube-feed,1000,0
Shortcodes and extra features for Phlox theme,auxin-elements,40000,0
YouTube Channel,youtube-channel,10000,0
Video Recorder,video-capture,0,1
2Checkout Payment Gateway for WooCommerce,woocommerce-2checkout-payment,2000,0
Tiny carousel horizontal slider plus,tiny-carousel-horizontal-slider-plus,2000,0
Docxpresso,docxpresso,6000,0
Postmark for WordPress,postmark-approved-wordpress-plugin,10000,0
New Google Plus Badge Widget,new-google-plus-badge-widget,10000,0
Bradmax Player,bradmax-player,300,0
Image Hover Effects Addon for Elementor,image-hover-effects-addon-for-elementor,9000,0
Live Chat by Customerly &#8211; Free Live Chat Plugin,customerly,500,0
Google Sitemap by BestWebSoft,google-sitemap-plugin,70000,0
Import YouTube videos as WP Posts,import-youtube-videos-as-wp-post,1000,1
VdoCipher,vdocipher,500,0
Ultimate Carousel For WPBakery Page Builder (formerly Visual Composer),ultimate-carousel-for-visual-composer,10000,0
OWL Carousel Slider,lgx-owl-carousel,1000,0
Genesis Layout Extras &#8211; Default Layouts in Genesis for WordPress,genesis-layout-extras,10000,0
YouTube Gallery &#8211; YouTube Channel,yottie-lite,4000,0
"WP Coder &#8211; add custom html, css and js code",wp-coder,3000,0
Visitors Online by BestWebSoft,visitors-online,3000,0
Hide Related Video Youtube,hide-related-video-youtube,600,1
LoftLoader,loftloader,10000,0
Insert Post Ads,insert-post-ads,20000,0
Carousel Anything For WPBakery Page Builder (formerly Visual Composer),carousel-anything,800,0
Gallery by BestWebSoft,gallery-plugin,40000,0
Product Slider,product-slider,900,0
Testimonial Rotator,testimonial-rotator,50000,0
Social Media Share Buttons | MashShare,mashsharer,70000,0
Orion SMS OTP Verification,orion-sms-otp-verification,1000,0
WooCommerce PayPal Pro Payment Gateway,woocommerce-paypal-pro-payment-gateway,5000,0
Popup anything on click,popup-anything-on-click,20000,0
Unfiltered MU,unfiltered-mu,7000,0
WordPress Gallery MaxGalleria,maxgalleria,5000,0
Hero Banner Ultimate,hero-banner-ultimate,500,0
Content Egg,content-egg,20000,0
WordPress Landing Page &#8211; Squeeze Page &#8211; Responsive Landing Page Builder Free &#8211; WP Lead Plus X,free-sales-funnel-squeeze-pages-landing-page-builder-templates-make,7000,0
WP Modal Popup with Cookie Integration,wp-modal-popup-with-cookie-integration,3000,0
WP Tab Widget,wp-tab-widget,70000,0
DsgnWrks Importer for Instagram,dsgnwrks-instagram-importer,4000,0
GS Logo Slider,gs-logo-slider,10000,0
Brands for WooCommerce,brands-for-woocommerce,800,0
Dynamic Conditions,dynamicconditions,2000,0
PPV Live Webcams &#8211; Paid Videochat,ppv-live-webcams,100,1
Advanced WooCommerce Product Gallery Slider,advanced-woocommerce-product-gallery-slider,1000,0
Simple User Registration,wp-registration,1000,0
"rtMedia for WordPress, BuddyPress and bbPress",buddypress-media,20000,0
Sina Extension for Elementor,sina-extension-for-elementor,1000,0
Post Sliders &amp; Post Grids,post-slider-carousel,2000,0
ManageWP Worker,worker,800000,0
Aparat,aparat,3000,0
Pearl Header Builder,pearl-header-builder,6000,0
Enjoy Instagram feed with Widget and Shortcode on WordPress website,enjoy-instagram-instagram-responsive-images-gallery-and-carousel,10000,0
ImageLinks Interactive Image Builder for WordPress,imagelinks-interactive-image-builder-lite,2000,0
OG,og,10000,0
Social Media Flying Icons | Floating Social Media Icon,floating-social-media-icon,30000,0
Free Responsive iframe Video Embeds,free-responsive-iframe-video-embeds,300,1
Livemesh Addons for Beaver Builder,addons-for-beaver-builder,3000,0
VenoBox Lightbox,venobox-lightbox,1000,0
Simple Documentation,client-documentation,800,0
Velocity &#8211; WordPress Lazy Load for Video and Audio,velocity,500,1
WP Google Analytics Events,wp-google-analytics-events,20000,0
WordPress fancyBox Lightbox,wp-fancybox,600,0
Modula Image Gallery,modula-best-grid-gallery,50000,0
Video Player Gallery with Responsive,video-player-gallery,100,1
Aparat Responsive,aparat-responsive,1000,0
Menu Swapper,menu-swapper,8000,0
IdeaPush,ideapush,500,0
WP Migrate DB,wp-migrate-db,300000,0
Niso Carousel,niso-carousel,100,0
Cloudflare Stream Video,cloudflare-stream,30,1
Album Gallery &#8211; WordPress Gallery,new-album-gallery,1000,0
Ads by datafeedr.com,ads-by-datafeedrcom,9000,0
PeepSo &#8211; User Profile and Social Networking Plugin,peepso-core,3000,0
Themify Builder,themify-builder,10000,0
WP Night Mode,wp-night-mode,900,0
Pricing Table by PickPlugins,pricingtable,4000,0
Multiline files upload for contact form 7,multiline-files-for-contact-form-7,3000,0
DobsonDev Shortcodes,dobsondev-shortcodes,400,0
Theme Blvd Layout Builder,theme-blvd-layout-builder,8000,0
Updater by BestWebSoft,updater,8000,0
Shortcodes Elements,shortcodes-elements,400,0
Slider Carousel &#8211; Responsive Image Slider,slider-images,10000,0
WP Ultimate Recipe,wp-ultimate-recipe,10000,0
Wp-Insert,wp-insert,20000,0
Dashboard Welcome for Elementor,dashboard-welcome-for-elementor,6000,0
MailPoet Newsletters (Previous),wysija-newsletters,200000,0
WHA Crossword,wha-crossword,80,0
Responsive Slick Slider WordPress,responsive-slick-slider,600,0
Directorist &#8211; Business Directory Plugin,directorist,2000,0
PB Addons for WPBakery Page Builder (Visual Composer),vc-addons-by-bit14,2000,0
Booking Calendar,booking,50000,0
WpStream,wpstream,500,0
Wp anything slider,wp-anything-slider,1000,0
Cool Timeline,cool-timeline,10000,0
StagTools,stagtools,6000,0
Podlove Podcast Publisher,podlove-podcasting-plugin-for-wordpress,5000,0
WPC Product Videos for WooCommerce,woo-product-videos,200,1
WordPress Meta Data and Taxonomies Filter (MDTF),wp-meta-data-filter-and-taxonomy-filter,9000,0
Estatik Real Estate Plugin,estatik,3000,0
DIVI Section Enhancer,dse-divi-section-enhancer,1000,0
WordPress Page Builder by MotoPress,motopress-content-editor-lite,10000,0
"Free WhatsApp, Messenger, Telegram, Email, SMS, Maps, Chat &amp; Call button &#8211; Chaty",chaty,8000,0
Timber,timber-library,30000,0
Translate WP website &#8211; Weglot Translate,weglot,20000,0
WOOCS &#8211; Currency Switcher for WooCommerce. Multi Currency and Multi Pay for WooCommerce,woocommerce-currency-switcher,40000,0
List category posts,list-category-posts,100000,0
WP GoToWebinar,wp-gotowebinar,1000,0
Facebook Button by BestWebSoft,facebook-button-plugin,20000,0
Sell Downloads,sell-downloads,500,0
Custom Instagram Feed,easy-instagram-feed,6000,0
Product Tabs Manager for WooCommerce,product-tabs-manager-for-woocommerce,800,0
Toolbox for Beaver Builder,bb-toolbox,500,0
